OrderID,ProductType,Quantity,OrderTime,PickType,PPS_ID
ORD_1,Toys,2,2024-03-09 18:32:00,Automated,PPS_1
ORD_2,Toys,4,2024-03-11 15:19:00,Manual,PPS_5
ORD_3,Books,1,2024-03-05 10:42:00,Automated,PPS_3
ORD_4,Books,1,2024-03-21 17:24:00,Manual,PPS_4
ORD_5,Books,9,2024-03-16 15:13:00,Manual,PPS_3
ORD_6,Clothing,5,2024-03-14 11:54:00,Manual,PPS_5
ORD_7,Clothing,5,2024-03-19 06:17:00,Automated,PPS_2
ORD_8,Clothing,8,2024-03-14 19:05:00,Automated,PPS_4
ORD_9,Clothing,8,2024-03-25 09:18:00,Manual,PPS_2
ORD_10,Electronics,1,2024-03-16 13:05:00,Automated,PPS_4
ORD_11,Toys,7,2024-03-27 10:52:00,Automated,PPS_2
ORD_12,Electronics,8,2024-03-27 06:53:00,Manual,PPS_3
ORD_13,Toys,6,2024-03-01 00:02:00,Automated,PPS_4
ORD_14,Groceries,10,2024-03-04 18:39:00,Manual,PPS_4
ORD_15,Toys,1,2024-03-21 18:11:00,Automated,PPS_1
ORD_16,Clothing,9,2024-03-29 03:42:00,Automated,PPS_1
ORD_17,Clothing,7,2024-03-28 03:19:00,Automated,PPS_1
ORD_18,Books,9,2024-03-28 23:41:00,Automated,PPS_3
ORD_19,Books,8,2024-03-12 13:21:00,Manual,PPS_5
ORD_20,Toys,6,2024-03-26 12:41:00,Manual,PPS_2
ORD_21,Groceries,1,2024-03-16 14:36:00,Automated,PPS_2
ORD_22,Groceries,10,2024-03-21 12:50:00,Manual,PPS_2
ORD_23,Toys,10,2024-03-13 02:32:00,Automated,PPS_1
ORD_24,Clothing,6,2024-03-03 04:36:00,Automated,PPS_1
ORD_25,Electronics,2,2024-03-02 03:33:00,Automated,PPS_4
ORD_26,Groceries,6,2024-03-11 10:48:00,Manual,PPS_2
ORD_27,Clothing,1,2024-03-30 20:28:00,Automated,PPS_4
ORD_28,Groceries,8,2024-03-05 06:00:00,Manual,PPS_3
ORD_29,Electronics,10,2024-03-18 22:08:00,Manual,PPS_2
ORD_30,Clothing,8,2024-03-15 10:51:00,Manual,PPS_3
ORD_31,Electronics,8,2024-03-19 14:03:00,Automated,PPS_4
ORD_32,Electronics,7,2024-03-18 06:08:00,Manual,PPS_5
ORD_33,Groceries,1,2024-03-18 03:27:00,Manual,PPS_5
ORD_34,Groceries,8,2024-03-02 18:35:00,Automated,PPS_1
ORD_35,Toys,9,2024-03-24 15:07:00,Automated,PPS_1
ORD_36,Clothing,4,2024-03-01 03:25:00,Manual,PPS_4
ORD_37,Electronics,4,2024-03-17 13:15:00,Automated,PPS_3
ORD_38,Clothing,3,2024-03-21 18:14:00,Automated,PPS_1
ORD_39,Toys,1,2024-03-30 13:35:00,Manual,PPS_4
ORD_40,Electronics,4,2024-03-13 03:55:00,Manual,PPS_1
ORD_41,Groceries,6,2024-03-05 17:07:00,Automated,PPS_3
ORD_42,Groceries,9,2024-03-24 14:45:00,Manual,PPS_1
ORD_43,Electronics,10,2024-03-18 15:00:00,Automated,PPS_4
ORD_44,Electronics,9,2024-03-09 20:38:00,Automated,PPS_4
ORD_45,Toys,8,2024-03-06 02:08:00,Automated,PPS_2
ORD_46,Electronics,8,2024-03-08 19:35:00,Automated,PPS_2
ORD_47,Clothing,10,2024-03-16 16:46:00,Manual,PPS_3
ORD_48,Toys,7,2024-03-06 00:59:00,Manual,PPS_2
ORD_49,Clothing,5,2024-03-12 03:55:00,Automated,PPS_1
ORD_50,Groceries,7,2024-03-01 12:19:00,Automated,PPS_4
ORD_51,Clothing,2,2024-03-25 06:53:00,Automated,PPS_2
ORD_52,Toys,2,2024-03-21 05:50:00,Automated,PPS_4
ORD_53,Groceries,3,2024-03-07 14:22:00,Manual,PPS_1
ORD_54,Toys,7,2024-03-12 01:06:00,Automated,PPS_4
ORD_55,Toys,5,2024-03-06 06:28:00,Manual,PPS_2
ORD_56,Clothing,4,2024-03-01 22:23:00,Manual,PPS_4
ORD_57,Books,7,2024-03-16 18:37:00,Manual,PPS_5
ORD_58,Groceries,6,2024-03-03 21:12:00,Manual,PPS_5
ORD_59,Clothing,1,2024-03-25 10:53:00,Automated,PPS_5
ORD_60,Groceries,5,2024-03-18 13:12:00,Manual,PPS_1
ORD_61,Toys,1,2024-03-26 14:34:00,Automated,PPS_2
ORD_62,Books,6,2024-03-01 16:28:00,Automated,PPS_1
ORD_63,Books,4,2024-03-08 19:27:00,Automated,PPS_2
ORD_64,Clothing,6,2024-03-05 10:19:00,Manual,PPS_5
ORD_65,Clothing,10,2024-03-19 20:24:00,Manual,PPS_1
ORD_66,Electronics,2,2024-03-25 03:10:00,Automated,PPS_4
