PickID,OrderID,PPS_ID,PickerType,PickerID,StartTime,EndTime,UnitsPicked,PickDuration
PICK_1,ORD_1,PPS_1,Robot,RBT_4,2024-03-09 18:32:00,2024-03-09 18:33:47.036237,2,107.03623676077089
PICK_2,ORD_2,PPS_5,Human,Operator_4,2024-03-11 15:19:00,2024-03-11 15:23:37.300450,4,277.3004501071356
PICK_3,ORD_3,PPS_3,Robot,RBT_5,2024-03-05 10:42:00,2024-03-05 10:43:02.949447,1,62.94944706608795
PICK_4,ORD_4,PPS_4,Human,Operator_2,2024-03-21 17:24:00,2024-03-21 17:26:00.200878,1,120.20087843277311
PICK_5,ORD_5,PPS_3,Human,Operator_2,2024-03-16 15:13:00,2024-03-16 15:14:18.798160,9,78.79815974432867
PICK_6,ORD_6,PPS_5,Human,Operator_3,2024-03-14 11:54:00,2024-03-14 11:54:43.820338,5,43.82033792342419
PICK_7,ORD_7,PPS_2,Robot,RBT_4,2024-03-19 06:17:00,2024-03-19 06:19:22.899620,5,142.8996195823129
PICK_8,ORD_8,PPS_4,Robot,RBT_4,2024-03-14 19:05:00,2024-03-14 19:05:36.222938,8,36.222938459778824
PICK_9,ORD_9,PPS_2,Human,Operator_4,2024-03-25 09:18:00,2024-03-25 09:22:06.686539,8,246.68653903576475
PICK_10,ORD_10,PPS_4,Robot,RBT_3,2024-03-16 13:05:00,2024-03-16 13:06:09.700075,1,69.7000752340532
PICK_11,ORD_11,PPS_2,Robot,RBT_3,2024-03-27 10:52:00,2024-03-27 10:52:48.085125,7,48.085125256146135
PICK_12,ORD_12,PPS_3,Human,Operator_2,2024-03-27 06:53:00,2024-03-27 06:57:10.350753,8,250.35075273994315
PICK_13,ORD_13,PPS_4,Robot,RBT_5,2024-03-01 00:02:00,2024-03-01 00:02:35.689210,6,35.68921004913247
PICK_14,ORD_14,PPS_4,Human,Operator_4,2024-03-04 18:39:00,2024-03-04 18:39:41.711672,10,41.711671900323594
PICK_15,ORD_15,PPS_1,Robot,RBT_4,2024-03-21 18:11:00,2024-03-21 18:13:01.444752,1,121.44475192448684
PICK_16,ORD_16,PPS_1,Robot,RBT_5,2024-03-29 03:42:00,2024-03-29 03:43:27.786586,9,87.78658649840433
PICK_17,ORD_17,PPS_1,Robot,RBT_2,2024-03-28 03:19:00,2024-03-28 03:20:03.131365,7,63.131365413487046
PICK_18,ORD_18,PPS_3,Robot,RBT_3,2024-03-28 23:41:00,2024-03-28 23:43:14.090924,9,134.09092362343637
PICK_19,ORD_19,PPS_5,Human,Operator_3,2024-03-12 13:21:00,2024-03-12 13:24:23.436382,8,203.43638237129724
PICK_20,ORD_20,PPS_2,Human,Operator_4,2024-03-26 12:41:00,2024-03-26 12:42:25.275486,6,85.27548575914803
PICK_21,ORD_21,PPS_2,Robot,RBT_3,2024-03-16 14:36:00,2024-03-16 14:37:36.171432,1,96.17143208138756
PICK_22,ORD_22,PPS_2,Human,Operator_4,2024-03-21 12:50:00,2024-03-21 12:53:15.526224,10,195.52622437962103
